	Titles	Ratings	Cast	Genre
0	Dragon Ball: Mystical Adventure	67.69999999999999	Adam Sandler,Bill Burr,Cecily Strong,Jason Alexander,Rob Schneider,Allison Strong,Jo Koy,Sadie Sandler,Sunny Sandler	Animation,Comedy,Family
1	Killers of the Flower Moon	76.78	Anna Kendrick,Justin Timberlake,Camila Cabello,Eric André,Amy Schumer,Andrew Rannells,Daveed Diggs,Troye Sivan,Kid Cudi	Animation,Family,Music,Fantasy,Comedy
2	The Nun II	69.11	Cillian Murphy,Emily Blunt,Matt Damon,Robert Downey Jr.,Florence Pugh,Josh Hartnett,Casey Affleck,Rami Malek,Kenneth Branagh	Drama,History
3	How the Grinch Stole Christmas	67.55	Rebecca Finch,Ray Whelan,Kate Milner Evans,Mark Sears,Peter Cosgrove,Carmina Cordelia,Mike Kelson,Kate Lush,Georgia Woodthorpe	Action,Horror,Fantasy
4	Spider-Man: No Way Home	79.85000000000001	Josh Hutcherson,Piper Rubio,Elizabeth Lail,Matthew Lillard,Mary Stuart Masterson,Kat Conner Sterling,David Lind,Christian Stokes,Joseph Poliquin	Horror,Mystery
5	Retribution	69.93	Sylvester Stallone,Jason Statham,50 Cent,Megan Fox,Dolph Lundgren,Iko Uwais,Andy García,Tony Jaa,Randy Couture	Action,Adventure,Thriller
6	Casper's Haunted Christmas	53.39	Vin Diesel,Michelle Rodriguez,Tyrese Gibson,Ludacris,John Cena,Nathalie Emmanuel,Jordana Brewster,Sung Kang,Jason Momoa	Action,Crime,Thriller
7	My Fault	80.82000000000001	John David Washington,Madeleine Yuna Voyles,Gemma Chan,Allison Janney,Ken Watanabe,Sturgill Simpson,Amar Chadha-Patel,Marc Menchaca,Robbie Tann	Science Fiction,Action,Thriller
8	Indiana Jones and the Dial of Destiny	66.79		
9	The Exorcist: Believer	61.82000000000001	Jean-Claude Van Damme,Pat Morita,Danny Trejo,Gabrielle Fitzpatrick,Larry Drake,Vincent Schiavelli,David 'Shark' Fralick,Silas Weir Mitchell,Jonathan Avildsen	Action,Drama,Romance
10	Sound of Freedom	80.85000000000001	Jennifer Garner,Ed Helms,Emma Myers,Brady Noon,Lincoln Sykes,Theodore Sykes,Rita Moreno,Matthias Schweighöfer,Vanessa Carrasco	Comedy,Fantasy,Family,Crime
11	The Flash	68.0	Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg,Rebecca Ferguson,Vanessa Kirby,Esai Morales,Pom Klementieff,Henry Czerny	Action,Thriller
12	Wish	66.9	Corey Taylor,Destiny Salas,Lindsey Cruz,Steve Delgado,Julie Garcia-Briceno,Jackie Gerhardy,Mark Justice,Gotham McFadden,Destiny Faith Nelson	Science Fiction
13	The Mercenary	62.5	John Cena,Alison Brie,Juan Pablo Raba,Alice Eve,Marton Csokas,Christian Slater,Julianne Arrieta,Molly McCann,Daniel Toro	Action,Comedy
14	Talk to Me	71.96	Ryunosuke Kamiki,Hidetaka Yoshioka,Minami Hamabe,Kuranosuke Sasaki,Yuki Yamada,Saki Nakatani,Munetaka Aoki,Sakura Ando,Mio Tanaka	Drama,Science Fiction,Action
15	Guardians of the Galaxy Vol. 3	80.03999999999999	Dolph Lundgren,Tyrese Gibson,Michael Jai White,Kellan Lutz,Vicellous Shannon,Hiram A. Murray,Justen Jones,Gary David Keast,Aaron Courteau	War,Drama,Action
16	The Grinch	68.41	Bridget Rose Perrotta,Destiny Leilani Brown,James Liddell,Gideon Berger,Cayla Berejikian,Victoria Andrunik,Darin F. Earl II,Searra Sawka,Thomas J. Cipriano	Horror,Mystery
17	Babylon A.D.	56.07	Tserendolgor Munkhbat,Altantur Altanjargal	History,Action,Drama
18	The Velveteen Rabbit	75.54	Chris Pratt,Anya Taylor-Joy,Charlie Day,Jack Black,Keegan-Michael Key,Seth Rogen,Fred Armisen,Sebastian Maniscalco,Charles Martinet	Animation,Family,Adventure,Fantasy,Comedy
19	Avengers: Infinity War	82.52000000000001	Denzel Washington,Dakota Fanning,Eugenio Mastrandrea,David Denman,Gaia Scodellaro,Remo Girone,Andrea Scarduzio,Andrea Dodero,Daniele Perrone	Action,Thriller,Crime
